latitude,longitude,outlet_latitude,outlet_longitude,outlet_junction,basin_key
34.4444865,109.781592,34.5410554,109.702053,50,0
34.3984805,109.533574,34.5222495,109.615405,68,1
34.4780988,110.618404,34.5515584,110.667117,72,2
34.4684946,110.334255,34.5314342,110.367099,75,3
34.3991366,110.936016,34.552782,110.898949,80,4
34.479441,110.537049,34.554183,110.556582,123,5
34.4633155,109.97631,34.5424705,109.963246,126,6
34.4716147,110.721989,34.5230636,110.742738,179,7
34.38749,109.432611,34.4386095,109.411087,224,8
34.386266,109.697268,34.4608979,109.620338,262,9
34.3193525,110.187724,34.2295771,110.281745,301,10
34.4094612,109.742278,34.5010718,109.656927,319,11
34.3408296,110.587063,34.3108454,110.695458,389,12
34.3035434,110.349252,34.2186312,110.307241,403,13
34.2988381,110.15467,34.2167322,110.260033,418,14
34.2690266,110.426101,34.2166129,110.385421,429,15
34.2632813,109.963425,34.2017,109.975576,463,16
34.2510224,110.08901,34.1396682,110.141942,489,17
34.2528511,109.855386,34.1503498,109.949838,503,18
34.2561722,110.822081,34.3301697,110.745937,563,19
34.2363971,110.587248,34.2832517,110.696535,581,20
34.1659734,110.49385,34.1166871,110.483083,756,21
34.1724821,109.641324,34.1689675,109.570102,770,22
