latitude,longitude,outlet_latitude,outlet_longitude,outlet_junction,basin_key
34.4611903,110.334313,34.5235308,110.356045,47,0
34.385068,110.936027,34.4667758,110.940211,143,1
34.3512497,109.433286,34.4386095,109.411087,149,2
34.3414212,109.55805,34.4232095,109.520411,162,3
34.3540788,109.697766,34.4608979,109.620338,191,4
34.3193525,110.187724,34.2293066,110.281747,231,5
34.3408296,110.587063,34.3108454,110.695458,322,6
34.3035434,110.349252,34.2186312,110.307241,336,7
34.2510224,110.08901,34.1396682,110.141942,423,8
34.2528542,109.855712,34.1503498,109.949838,437,9
34.2561722,110.822081,34.3301697,110.745937,497,10
34.2363971,110.587248,34.2832508,110.696209,515,11
34.1724821,109.641324,34.1689675,109.570102,704,12
