basin_number,minimum_MLE,first_quartile_MLE,median_MLE,third_quartile_MLE,maximum_MLE
0,0.931363,0.945688,0.952447,0.958509,0.970693
1,0.994334,0.998803,0.99961,0.999696,0.999993
2,0.991999,0.995106,0.995737,0.996373,0.998664
3,0.901047,0.918509,0.926279,0.933827,0.962039
4,0.826569,0.854333,0.864073,0.87287,0.901385
5,0.98374,0.98819,0.989461,0.990443,0.992572
6,0.946624,0.955723,0.958681,0.96142,0.968704
7,0.991117,0.994209,0.995207,0.9962,0.998354
8,0.371768,0.952592,0.957647,0.963195,0.978292
9,0.976149,0.982213,0.984327,0.986623,0.99326
10,0.989258,0.991589,0.992651,0.993845,0.996044
11,0.771183,0.953235,0.958056,0.96288,0.977169
12,0.943692,0.964534,0.970422,0.975692,0.9898
