basin_key,source_key,midpoints_log_A,mean_log_A,median_log_A,logA_stdErr,logA_MAD,mean_log_S,median_log_S,logS_FirstQuartile,logS_ThirdQuartile,logS_stdDev,n_observations
0,0,6.65,6.68958,6.68623,0.00290027,0,-1.19905,-1.20491,-1.22307,-1.17502,0.0283594,4
0,0,6.75,6.71032,6.70714,0.00146955,0.00230694,-1.06602,-1.06879,-1.13374,-0.986107,0.102305,18
0,0,7.05,7.05138,7.05327,0.000984972,0.00477982,-1.185,-1.18253,-1.23961,-1.14342,0.0889842,27
0,0,7.15,7.19591,7.19534,0.000487656,5.00679e-05,-1.18931,-1.16233,-1.21303,-1.15211,0.0532725,3
0,0,7.25,7.26423,7.26658,0.00489599,0.0287223,-1.22669,-1.23396,-1.26473,-1.1865,0.0816268,38
0,0,7.35,7.36145,7.36875,0.00288177,0.0194087,-1.26209,-1.29019,-1.39922,-1.18506,0.20933,80
0,0,7.45,7.44489,7.44128,0.00209989,0.0215526,-1.42443,-1.41768,-1.46263,-1.37835,0.0687421,141
0,0,7.55,7.50607,7.5065,0.000232388,0.00108814,-1.48219,-1.49587,-1.52847,-1.44936,0.0572576,32
0,0,7.85,7.87176,7.87215,0.000795749,0.00113153,-1.5948,-1.59246,-1.61424,-1.57352,0.0446995,37
0,0,7.95,7.92044,7.922,0.000872201,0.00430536,-1.73732,-1.73786,-1.76985,-1.69468,0.0473262,47
0,0,8.15,8.12876,8.12886,0.000109465,1.43051e-05,-1.82655,-1.81031,-1.84152,-1.79363,0.0495944,14
0,0,8.25,8.24369,8.2437,1.7831e-05,6.67572e-06,-1.67931,-1.89586,-1.90441,-1.88544,0.495427,6
0,1,6.75,6.72713,6.73304,0.00224928,0.00517273,-0.941133,-0.930063,-0.995244,-0.893545,0.0795778,21
0,2,6.65,6.66765,6.65779,0.00919925,0.00137782,-0.926873,-0.926904,-1.00912,-0.844621,0.0828158,4
0,2,6.75,6.72947,6.72384,0.00377745,0.00628328,-0.892093,-0.902149,-0.994592,-0.799816,0.162145,30
0,2,6.85,6.89086,6.88793,0.00167825,0.000202656,-1.00584,-1.03598,-1.03895,-0.94164,0.064615,5
0,2,6.95,6.94354,6.95651,0.00497307,0.011945,-1.03731,-1.03513,-1.08175,-0.999359,0.0647671,34
0,2,7.05,7.00147,7.00152,7.09466e-05,0,-1.0681,-1.07561,-1.12198,-1.02837,0.0619014,6
0,2,7.25,7.26238,7.26589,0.00132566,0.00662422,-1.15523,-1.14511,-1.18253,-1.11345,0.0538866,37
0,2,7.35,7.3316,7.31975,0.00630077,0.00291014,-1.20591,-1.20833,-1.27154,-1.13782,0.0729939,24
0,2,7.45,7.42848,7.43377,0.00168642,0.00808716,-1.19139,-1.17901,-1.28868,-1.07159,0.140474,84
0,2,7.55,7.5393,7.53576,0.00230824,0.0131044,-1.38851,-1.39538,-1.45647,-1.30595,0.0953634,90
0,2,7.65,7.60957,7.60928,0.000151788,0.00027895,-1.50784,-1.51616,-1.56968,-1.45854,0.073302,23
0,3,6.65,6.67923,6.67721,0.00101316,0.00261974,-1.13706,-1.15358,-1.20566,-1.05965,0.0918047,14
0,3,6.75,6.70181,6.70181,0,0,-1.15797,-1.15797,-1.15797,-1.15797,0,1
0,3,6.85,6.89761,6.89774,0.000250005,0.000346422,-1.29723,-1.3125,-1.34926,-1.27249,0.0615917,6
0,3,6.95,6.95279,6.96687,0.00406406,0.0214806,-1.16833,-1.18755,-1.23624,-1.11954,0.084108,42
0,3,7.05,7.05561,7.05927,0.00376996,0.0286355,-1.18596,-1.21306,-1.30849,-1.10652,0.154487,52
0,3,7.15,7.13229,7.13543,0.00219722,0.0188308,-1.31215,-1.3318,-1.37288,-1.2772,0.0863356,87
0,3,7.25,7.24872,7.27961,0.00521135,0.00863934,-1.42065,-1.41448,-1.51226,-1.36226,0.0926512,51
0,3,7.35,7.33836,7.31457,0.00406325,0.0126181,-1.51824,-1.50674,-1.56536,-1.47128,0.0627088,72
0,3,7.45,7.49095,7.49019,0.000623866,0.000189304,-1.70157,-1.71028,-1.71877,-1.70669,0.0295963,5
0,3,7.55,7.57628,7.57588,0.00193313,0.0212781,-1.70943,-1.70279,-1.73496,-1.68083,0.0404734,88
0,4,6.75,6.75003,6.76716,0.00496944,0.0190206,-0.963255,-0.975287,-0.995248,-0.931228,0.0507117,29
0,4,6.85,6.85537,6.85379,0.00122375,0.00556326,-0.919582,-0.950379,-1.07093,-0.83871,0.185929,21
0,5,6.65,6.66399,6.66765,0.0015913,0.000252008,-0.88744,-0.92448,-1.06523,-0.709383,0.181473,10
0,5,6.75,6.7461,6.7481,0.00166565,0.00153875,-0.781327,-0.781701,-0.798734,-0.745956,0.0578459,9
0,5,6.85,6.84207,6.83943,0.00160714,0.00628996,-0.935008,-0.930069,-0.971462,-0.880947,0.0750802,17
0,5,6.95,6.97595,6.97377,0.00194296,0.00698996,-0.896008,-0.874455,-0.98015,-0.769304,0.162313,27
0,5,7.05,7.0488,7.06825,0.004691,0.00846815,-0.974406,-0.983235,-1.06472,-0.884108,0.107601,27
0,5,7.15,7.17142,7.18943,0.00453118,0.00388765,-1.07352,-1.06686,-1.14579,-0.999819,0.0832524,24
0,5,7.25,7.25578,7.24906,0.0033283,0.0246758,-1.05209,-1.04987,-1.19694,-0.949659,0.193526,58
0,5,7.35,7.3501,7.357,0.00176892,0.01156,-1.24489,-1.25774,-1.3201,-1.18257,0.115086,123
0,5,7.45,7.46834,7.46767,0.00113518,0.00724936,-1.48339,-1.48388,-1.51311,-1.44461,0.0442506,73
0,5,7.65,7.69525,7.69525,0,0,-1.55135,-1.55135,-1.55135,-1.55135,0,1
0,6,6.65,6.6823,6.68252,0.000423896,0.000731468,-0.862958,-0.862463,-0.88175,-0.823104,0.0458214,7
0,6,6.75,6.75509,6.76029,0.0026358,0.00966644,-0.908036,-0.920455,-0.971462,-0.849489,0.0910503,25
0,6,6.85,6.89441,6.89585,0.000848902,0.000248432,-0.920449,-0.932163,-1.02474,-0.808413,0.163377,15
