basin_key,median_log_A,median_log_S,logS_FirstQuartile,logS_ThirdQuartile,segment_number,segmented_log_S,segment_slope,segment_intercept,segement_R2,segment_Durbin_Watson
0,6.68623,-1.20491,-1.22307,-1.17502,0,-1.12732,-0.175382,0.0453312,0.465604,1.9826
0,6.70714,-1.06879,-1.13374,-0.986107,0,-1.13098,-0.175382,0.0453312,0.465604,1.9826
0,7.05327,-1.18253,-1.23961,-1.14342,0,-1.19169,-0.175382,0.0453312,0.465604,1.9826
0,7.19534,-1.16233,-1.21303,-1.15211,0,-1.21661,-0.175382,0.0453312,0.465604,1.9826
0,7.26658,-1.23396,-1.26473,-1.1865,0,-1.2291,-0.175382,0.0453312,0.465604,1.9826
0,7.36875,-1.29019,-1.39922,-1.18506,0,-1.24702,-0.175382,0.0453312,0.465604,1.9826
0,7.44128,-1.41768,-1.46263,-1.37835,1,-1.44287,-0.357605,1.21817,0.899826,2.7211
0,7.5065,-1.49587,-1.52847,-1.44936,1,-1.46619,-0.357605,1.21817,0.899826,2.7211
0,7.87215,-1.59246,-1.61424,-1.57352,1,-1.59695,-0.357605,1.21817,0.899826,2.7211
0,7.922,-1.73786,-1.76985,-1.69468,2,-1.73115,-0.474103,2.0247,0.95593,2.94543
0,8.12886,-1.81031,-1.84152,-1.79363,2,-1.82922,-0.474103,2.0247,0.95593,2.94543
0,8.2437,-1.89586,-1.90441,-1.88544,2,-1.88366,-0.474103,2.0247,0.95593,2.94543
1,6.77075,-1.64817,-1.7253,-1.55397,0,-1.85003,-0.0398583,-1.58015,0.0363864,1.58328
1,6.93869,-1.8914,-1.9063,-1.86611,0,-1.85672,-0.0398583,-1.58015,0.0363864,1.58328
1,7.07042,-1.96581,-1.98815,-1.9084,0,-1.86197,-0.0398583,-1.58015,0.0363864,1.58328
1,7.12061,-1.92758,-1.95825,-1.89819,0,-1.86397,-0.0398583,-1.58015,0.0363864,1.58328
1,7.38199,-1.93767,-1.98563,-1.90632,0,-1.87439,-0.0398583,-1.58015,0.0363864,1.58328
1,7.44183,-1.89071,-1.92152,-1.83666,0,-1.87677,-0.0398583,-1.58015,0.0363864,1.58328
1,7.56949,-1.89698,-1.93236,-1.85558,0,-1.88186,-0.0398583,-1.58015,0.0363864,1.58328
1,7.65757,-1.85057,-1.90948,-1.81688,0,-1.88537,-0.0398583,-1.58015,0.0363864,1.58328
1,7.84829,-1.96736,-2.03874,-1.8928,0,-1.89297,-0.0398583,-1.58015,0.0363864,1.58328
1,7.94879,-1.90483,-1.98216,-1.82571,0,-1.89698,-0.0398583,-1.58015,0.0363864,1.58328
1,8.06379,-1.73229,-1.84941,-1.52807,0,-1.90156,-0.0398583,-1.58015,0.0363864,1.58328
1,8.17464,-1.9352,-2.01751,-1.88794,0,-1.90598,-0.0398583,-1.58015,0.0363864,1.58328
2,6.78739,-1.72783,-1.7676,-1.71028,0,-1.71197,0.487832,-5.02308,0.965665,2.75595
2,6.85137,-1.66149,-1.69515,-1.60137,0,-1.68076,0.487832,-5.02308,0.965665,2.75595
2,7.15009,-1.53845,-1.68161,-1.4752,0,-1.53504,0.487832,-5.02308,0.965665,2.75595
2,7.59546,-1.77308,-1.80675,-1.75048,1,-1.75082,-0.00860709,-1.68545,0.00375569,2.64515
2,7.62203,-1.72553,-1.7707,-1.6622,1,-1.75105,-0.00860709,-1.68545,0.00375569,2.64515
2,7.75541,-1.75434,-1.81302,-1.67807,1,-1.7522,-0.00860709,-1.68545,0.00375569,2.64515
2,7.89792,-1.75455,-1.79425,-1.73531,1,-1.75343,-0.00860709,-1.68545,0.00375569,2.64515
2,7.97621,-1.90285,-1.95471,-1.81383,2,-1.93352,-0.973716,5.83304,0.940889,2.61233
2,8.02597,-2.04289,-2.08131,-2.00537,2,-1.98197,-0.973716,5.83304,0.940889,2.61233
2,8.17566,-2.1227,-2.12752,-2.1108,2,-2.12772,-0.973716,5.83304,0.940889,2.61233
2,8.23618,-2.13757,-2.18389,-2.09754,2,-2.18665,-0.973716,5.83304,0.940889,2.61233
2,8.42649,-2.3958,-2.40123,-2.38981,2,-2.37196,-0.973716,5.83304,0.940889,2.61233
3,6.68187,-0.793804,-0.857521,-0.755918,0,-0.797527,-0.782883,4.43359,0.992119,1.13805
3,6.73979,-0.864281,-0.911416,-0.834574,0,-0.842872,-0.782883,4.43359,0.992119,1.13805
3,6.9645,-1.03895,-1.09226,-0.975344,0,-1.0188,-0.782883,4.43359,0.992119,1.13805
3,7.01697,-1.11707,-1.18251,-1.01306,0,-1.05988,-0.782883,4.43359,0.992119,1.13805
3,7.17146,-1.15705,-1.1865,-1.09226,0,-1.18083,-0.782883,4.43359,0.992119,1.13805
3,7.25812,-1.19372,-1.25101,-1.16092,0,-1.24867,-0.782883,4.43359,0.992119,1.13805
3,7.38443,-1.29572,-1.35401,-1.21812,0,-1.34755,-0.782883,4.43359,0.992119,1.13805
3,7.44562,-1.36092,-1.39324,-1.32968,0,-1.39546,-0.782883,4.43359,0.992119,1.13805
3,7.51162,-1.44854,-1.52936,-1.39769,0,-1.44713,-0.782883,4.43359,0.992119,1.13805
3,7.74687,-1.62916,-1.65274,-1.60803,0,-1.6313,-0.782883,4.43359,0.992119,1.13805
3,7.88405,-1.77861,-1.79726,-1.73952,0,-1.7387,-0.782883,4.43359,0.992119,1.13805
3,7.93069,-1.82638,-1.85458,-1.7875,0,-1.77521,-0.782883,4.43359,0.992119,1.13805
3,8.19754,-1.96426,-1.98841,-1.93056,0,-1.98412,-0.782883,4.43359,0.992119,1.13805
3,8.2421,-2.0186,-2.04743,-1.9789,0,-2.01901,-0.782883,4.43359,0.992119,1.13805
4,6.65993,-0.820943,-1.14886,-0.799547,0,-0.918996,-0.509807,2.47629,0.909477,2.65097
4,6.74614,-1.07593,-1.23353,-0.829929,0,-0.962946,-0.509807,2.47629,0.909477,2.65097
4,7.08193,-1.1755,-1.54502,-1.07403,0,-1.13413,-0.509807,2.47629,0.909477,2.65097
4,7.15496,-1.14366,-1.43871,-0.923086,0,-1.17136,-0.509807,2.47629,0.909477,2.65097
4,7.28704,-1.29937,-1.37343,-0.978037,0,-1.2387,-0.509807,2.47629,0.909477,2.65097
4,7.31298,-1.14653,-1.27049,-0.956893,0,-1.25192,-0.509807,2.47629,0.909477,2.65097
4,7.42023,-1.44352,-1.45998,-1.42641,0,-1.3066,-0.509807,2.47629,0.909477,2.65097
4,7.66374,-1.3271,-1.43416,-1.13417,0,-1.43074,-0.509807,2.47629,0.909477,2.65097
4,7.77071,-1.39017,-1.49199,-1.2381,0,-1.48528,-0.509807,2.47629,0.909477,2.65097
4,8.06323,-1.61304,-1.63309,-1.59225,0,-1.63441,-0.509807,2.47629,0.909477,2.65097
4,8.1625,-1.76952,-1.80578,-1.69502,0,-1.68502,-0.509807,2.47629,0.909477,2.65097
4,8.40539,-1.82367,-1.84196,-1.80081,0,-1.80884,-0.509807,2.47629,0.909477,2.65097
5,6.86063,-1.33895,-1.40424,-1.26092,0,-1.31439,-0.501414,2.12563,0.96435,1.93509
5,6.9965,-1.26458,-1.30046,-1.16113,0,-1.38252,-0.501414,2.12563,0.96435,1.93509
5,7.06815,-1.41018,-1.44854,-1.38654,0,-1.41845,-0.501414,2.12563,0.96435,1.93509
5,7.1262,-1.49472,-1.5276,-1.46847,0,-1.44755,-0.501414,2.12563,0.96435,1.93509
5,7.2522,-1.54047,-1.57942,-1.50681,0,-1.51073,-0.501414,2.12563,0.96435,1.93509
5,7.57647,-1.68415,-1.74036,-1.63158,0,-1.67332,-0.501414,2.12563,0.96435,1.93509
5,7.60959,-1.73731,-1.74744,-1.72381,0,-1.68993,-0.501414,2.12563,0.96435,1.93509
5,7.88885,-1.8547,-1.87959,-1.82641,0,-1.82996,-0.501414,2.12563,0.96435,1.93509
5,7.93695,-1.8605,-1.8887,-1.84152,0,-1.85407,-0.501414,2.12563,0.96435,1.93509
5,8.19864,-1.88004,-1.90683,-1.85372,0,-1.98529,-0.501414,2.12563,0.96435,1.93509
5,8.27344,-2.01698,-2.04278,-1.98832,0,-2.0228,-0.501414,2.12563,0.96435,1.93509
5,8.30869,-2.08904,-2.11235,-2.06285,0,-2.04047,-0.501414,2.12563,0.96435,1.93509
5,8.41593,-2.0921,-2.14486,-2.04698,0,-2.09424,-0.501414,2.12563,0.96435,1.93509
6,6.66283,-1.17915,-1.19667,-1.14112,0,-1.15475,-0.287331,0.759691,0.850425,2.77533
6,6.70243,-1.14512,-1.17555,-1.12071,0,-1.16613,-0.287331,0.759691,0.850425,2.77533
6,6.81852,-1.23109,-1.26449,-1.19668,0,-1.19948,-0.287331,0.759691,0.850425,2.77533
6,6.96412,-1.16669,-1.17916,-1.13853,0,-1.24132,-0.287331,0.759691,0.850425,2.77533
6,7.05904,-1.25074,-1.31144,-1.17609,0,-1.26859,-0.287331,0.759691,0.850425,2.77533
6,7.1611,-1.37079,-1.43797,-1.29781,0,-1.29792,-0.287331,0.759691,0.850425,2.77533
6,7.29892,-1.32604,-1.37276,-1.27932,0,-1.33752,-0.287331,0.759691,0.850425,2.77533
6,7.34065,-1.35835,-1.36745,-1.34926,0,-1.34951,-0.287331,0.759691,0.850425,2.77533
