basin_key,outlet_jn,m_over_n = 0.1,m_over_n = 0.2,m_over_n = 0.3,m_over_n = 0.4,m_over_n = 0.5,m_over_n = 0.6,m_over_n = 0.7,m_over_n = 0.8
0,47,152.191467,143.422958,136.47435,132.209625,136.343506,144.843094,154.530182,164.542953
1,143,10.5500917,8.08381271,5.79913855,4.44724417,7.60952091,12.8548689,19.0862522,25.9827881
2,149,67.065361,51.954731,43.6880112,57.7108688,82.7444611,112.305618,143.077011,170.182526
3,162,113.293373,98.3969269,84.730423,79.6015549,82.2266998,86.4640274,93.5500183,104.015022
4,191,109.441849,126.263649,167.731094,222.057632,273.281189,320.210663,362.569763,400.87146
5,231,99.123436,63.101223,41.7773514,59.6276932,91.2353287,123.729721,156.126678,187.657639
6,322,151.581375,104.98616,62.7316628,50.4901962,82.9006729,127.040451,164.422211,194.677963
7,336,39.8330231,33.9260139,27.798624,23.3781738,25.9850082,32.8036461,43.0088005,54.3343315
8,423,155.587296,129.342331,115.141304,113.000832,120.231232,135.286865,155.580185,177.099564
9,437,130.61319,106.175629,80.6733932,59.426651,63.5479279,90.8159866,124.627594,160.652924
10,497,48.7758865,41.6277657,35.0143776,32.792675,37.4618454,44.8289032,53.6143417,63.5360336
11,515,187.469498,143.760071,98.8723907,73.8343277,89.2059937,133.957504,185.695129,227.036224
12,704,73.457756,69.0473862,63.2722359,56.0769806,49.3856888,48.933197,61.1162605,78.2218857
