source_key,basin_key,elevation,m_over_n = 0.1,m_over_n = 0.2,m_over_n = 0.3,m_over_n = 0.4,m_over_n = 0.5,m_over_n = 0.6,m_over_n = 0.7,m_over_n = 0.8
0,0,1092,3191.7,571.51,103.02,18.695,3.4148,0.62788,0.11621,0.02165
0,0,1092,3185.2,570.12,102.72,18.631,3.4011,0.62494,0.11558,0.021514
0,0,1088,3176.1,568.17,102.31,18.541,3.3818,0.62079,0.11469,0.021323
0,0,1084,3167,566.21,101.89,18.451,3.3625,0.61665,0.1138,0.021132
0,0,1078,3157.9,564.26,101.47,18.361,3.3432,0.61251,0.11291,0.020942
0,0,1076,3151.5,562.88,101.17,18.297,3.3296,0.60959,0.11228,0.020808
0,0,1076,3145.1,561.51,100.88,18.235,3.3162,0.60672,0.11167,0.020676
0,0,1076,3136,559.57,100.46,18.146,3.2972,0.60265,0.1108,0.02049
0,0,1073,3126.9,557.63,100.05,18.057,3.2782,0.59859,0.10993,0.020305
0,0,1070,3117.9,555.69,99.632,17.968,3.2592,0.59454,0.10906,0.020119
0,0,1069,3111.4,554.32,99.339,17.906,3.2459,0.59168,0.10845,0.019989
0,0,1067,3102.4,552.38,98.926,17.817,3.227,0.58765,0.10759,0.019804
0,0,1065,3096,551.01,98.633,17.755,3.2136,0.58479,0.10698,0.019674
0,0,1062,3086.9,549.08,98.22,17.667,3.1948,0.58077,0.10612,0.019491
0,0,1057,3077.8,547.14,97.807,17.578,3.1759,0.57675,0.10526,0.019307
0,0,1053,3068.8,545.21,97.394,17.49,3.1571,0.57273,0.10441,0.019124
0,0,1046,3059.7,543.27,96.981,17.402,3.1383,0.56871,0.10355,0.018941
0,0,1040,3053.3,541.91,96.689,17.34,3.125,0.56588,0.10294,0.018812
0,0,1040,3044.3,539.98,96.278,17.252,3.1063,0.56189,0.10209,0.01863
0,0,1039,3035.2,538.05,95.867,17.165,3.0876,0.55791,0.10124,0.01845
0,0,1037,3026.2,536.12,95.457,17.077,3.069,0.55394,0.1004,0.018269
0,0,1031,3017.2,534.2,95.046,16.99,3.0504,0.54997,0.099553,0.018089
0,0,1021,3008.1,532.27,94.636,16.902,3.0318,0.546,0.098708,0.017909
0,0,1020,2999.1,530.35,94.227,16.815,3.0132,0.54206,0.097868,0.017731
0,0,1018,2993.1,529.17,93.994,16.769,3.0041,0.54024,0.097509,0.017659
0,0,1018,2987.2,528,93.761,16.723,2.9949,0.53843,0.09715,0.017588
0,0,1018,2978.8,526.33,93.431,16.658,2.982,0.53587,0.096642,0.017488
0,0,1018,2970.4,524.68,93.104,16.593,2.9692,0.53334,0.096143,0.017389
0,0,1013,2964.5,523.5,92.872,16.547,2.9602,0.53156,0.09579,0.017319
0,0,1009,2958.6,522.33,92.641,16.501,2.9511,0.52977,0.095437,0.01725
0,0,1008,2952.6,521.16,92.409,16.456,2.9421,0.52799,0.095086,0.01718
0,0,1002,2944.3,519.51,92.083,16.391,2.9294,0.52547,0.094589,0.017082
0,0,998,2938.3,518.34,91.852,16.346,2.9204,0.5237,0.094237,0.017013
0,0,997,2932.4,517.17,91.621,16.3,2.9114,0.52192,0.093887,0.016943
0,0,997,2926.5,516,91.39,16.254,2.9024,0.52014,0.093536,0.016874
0,0,996,2918.1,514.35,91.064,16.19,2.8897,0.51763,0.093041,0.016776
0,0,994,2909.7,512.69,90.738,16.126,2.877,0.51513,0.092547,0.016679
0,0,991,2903.8,511.53,90.507,16.08,2.868,0.51336,0.092197,0.01661
0,0,990,2897.9,510.36,90.277,16.035,2.859,0.51159,0.091848,0.016541
0,0,987,2889.5,508.71,89.951,15.971,2.8463,0.50909,0.091354,0.016444
0,0,986,2883.6,507.54,89.721,15.925,2.8374,0.50732,0.091007,0.016375
0,0,986,2875.3,505.89,89.396,15.861,2.8248,0.50484,0.090516,0.016278
0,0,983,2869.3,504.73,89.166,15.816,2.8158,0.50308,0.09017,0.01621
0,0,977,2863.4,503.56,88.937,15.771,2.8069,0.50132,0.089823,0.016142
0,0,973.01,2857.5,502.4,88.707,15.725,2.798,0.49956,0.089477,0.016074
0,0,973,2849.2,500.75,88.383,15.661,2.7854,0.49708,0.088987,0.015977
0,0,973,2840.8,499.1,88.058,15.597,2.7728,0.4946,0.088498,0.015881
0,0,973,2832.4,497.46,87.734,15.534,2.7602,0.49212,0.08801,0.015785
0,0,971,2826.5,496.29,87.505,15.488,2.7513,0.49037,0.087666,0.015717
0,0,967,2820.6,495.13,87.276,15.443,2.7424,0.48862,0.087321,0.015649
0,0,965,2812.3,493.48,86.952,15.38,2.7299,0.48614,0.086834,0.015553
0,0,959,2803.9,491.84,86.628,15.316,2.7173,0.48367,0.086346,0.015457
0,0,958,2798,490.68,86.399,15.271,2.7084,0.48192,0.086002,0.015389
0,0,958,2789.7,489.03,86.075,15.207,2.6959,0.47945,0.085516,0.015294
0,0,957,2781.6,487.49,85.78,15.151,2.6852,0.47741,0.085126,0.015219
0,0,954,2775.8,486.4,85.572,15.111,2.6776,0.47596,0.08485,0.015167
0,0,952,2770.1,485.3,85.364,15.071,2.67,0.47452,0.084575,0.015114
0,0,949,2764.4,484.21,85.156,15.032,2.6625,0.47307,0.084299,0.015061
0,0,945,2758.7,483.12,84.948,14.992,2.6549,0.47163,0.084025,0.015009
0,0,944,2753,482.04,84.743,14.953,2.6475,0.47023,0.08376,0.014959
0,0,944,2744.9,480.52,84.454,14.898,2.6371,0.46826,0.083385,0.014888
0,0,944,2736.9,478.99,84.164,14.843,2.6267,0.46629,0.083011,0.014817
0,0,942,2728.8,477.47,83.875,14.789,2.6163,0.46431,0.082637,0.014746
0,0,936,2723.2,476.39,83.671,14.75,2.609,0.46292,0.082373,0.014696
