basin_key,reference_source_key,test_source_key,MLE,RMSE
0,0,1,0.996783,12.4276
0,0,2,1,0
0,0,3,1,0
0,0,4,0.664135,119.557
0,0,5,1,0
0,0,6,1,0
0,0,7,0.207881,193.314
1,8,9,0.999879,2.35859
1,8,10,0.999702,2.99942
1,8,11,0.967318,21.0082
1,8,12,0.994154,28.8909
1,8,13,0.999806,4.02482
1,8,14,0.919103,37.8994
1,8,15,0.462952,127.046
2,16,17,0.999637,4.01828
2,16,18,0.990547,11.9522
2,16,19,0.994277,11.9581
2,16,20,0.985781,24.0773
2,16,21,0.978062,17.6779
2,16,22,0.917001,35.7636
2,16,23,1,0
2,16,24,0.131629,89.6806
2,16,25,0.880646,178.153
2,16,26,0.818782,124.542
2,16,27,0.935114,115.293
2,16,28,0.0746338,181.403
2,16,29,0.658347,73.6132
2,16,30,0.125915,115.281
2,16,31,0.951367,44.9787
3,32,33,0.0284673,95.6124
3,32,34,0.0109294,156.435
3,32,35,0.0630125,207.961
3,32,36,0.457005,78.5011
3,32,37,0.600596,146.226
3,32,38,0.957796,54.8075
3,32,39,0.939381,56.4642
3,32,40,0.956397,32.2112
3,32,41,0.592327,87.1022
3,32,42,0.260516,70.4139
3,32,43,0.997383,14.7417
4,44,45,0.994893,14.0854
4,44,46,1,0
4,44,47,0.125249,80.7673
4,44,48,1,0
4,44,49,1,0
4,44,50,0.964899,39.7353
4,44,51,1,0
4,44,52,1,0
4,44,53,9.42094e-09,436.439
4,44,54,3.92355e-08,414.611
4,44,55,2.61308e-09,518.084
4,44,56,0.063717,266.06
4,44,57,1.48903e-17,438.559
4,44,58,0.00109504,526.121
5,59,60,0.932101,25.5186
5,59,61,0.997581,3.24486
5,59,62,0.949441,27.08
5,59,63,0.997569,8.94969
5,59,64,0.610108,47.311
5,59,65,0.52937,62.9559
5,59,66,0.765981,78.4837
5,59,67,0.92183,69.9663
5,59,68,0.834526,55.6327
5,59,69,0.64871,67.5067
5,59,70,0.94655,46.4116
5,59,71,0.105341,88.8525
5,59,72,0.281067,150.925
5,59,73,0.782245,152.641
6,74,75,0.993876,13.3233
6,74,76,1,0
6,74,77,0.891472,50.2181
6,74,78,1,0
6,74,79,0.575096,100.58
6,74,80,0.859375,98.1424
6,74,81,1,0
6,74,82,1,0
6,74,83,0.287921,147.012
6,74,84,0.965605,53.3901
6,74,85,0.0203414,154.743
6,74,86,0.150001,256.116
6,74,87,0.96146,74.5065
7,88,89,0.905611,20.8235
7,88,90,0.998788,4.65579
7,88,91,0.991047,10.5974
7,88,92,0.996848,22.7495
7,88,93,0.988792,11.6748
7,88,94,0.998856,16.2922
7,88,95,0.998831,8.01743
7,88,96,0.999693,7.2227
7,88,97,0.996602,28.4807
7,88,98,0.969195,31.6078
7,88,99,0.590877,66.939
7,88,100,0.922184,115.833
8,101,102,1,0
8,101,103,1,0
8,101,104,0.935835,28.6313
8,101,105,0.939253,19.9994
8,101,106,0.996937,14.6101
8,101,107,0.821862,38.7333
8,101,108,0.849348,34.9644
8,101,109,0.988076,15.2122
8,101,110,0.92322,36.951
8,101,111,0.951917,31.1573
8,101,112,0.992589,16.0563
8,101,113,0.11224,96.9619
8,101,114,0.862608,45.0947
8,101,115,0.961962,50.6404
8,101,116,0.810563,63.5407
8,101,117,0.791281,68.2048
9,118,119,0.992447,7.48204
9,118,120,0.966214,6.28
9,118,121,0.733186,43.4836
9,118,122,0.864864,49.3631
9,118,123,0.996247,23.7224
9,118,124,0.998475,6.65346
9,118,125,0.683905,73.8043
9,118,126,0.957797,31.2095
9,118,127,0.921094,43.445
9,118,128,0.738987,44.2937
9,118,129,0.895713,41.0446
9,118,130,0.980036,26.5725
9,118,131,0.33752,77.2489
9,118,132,0.98588,34.7137
9,118,133,0.928427,56.8415
9,118,134,0.690676,77.861
9,118,135,0.538397,100.448
10,136,137,0.994231,6.06587
10,136,138,0.96773,17.236
10,136,139,0.89302,17.1594
10,136,140,0.959002,21.7359
10,136,141,0.975451,15.9875
10,136,142,0.982043,29.6188
10,136,143,0.997005,14.2017
10,136,144,0.955199,23.8314
10,136,145,0.605811,76.5021
10,136,146,0.953325,47.8751
10,136,147,0.836509,81.6136
11,148,149,0.993448,7.87385
11,148,150,0.999673,4.19247
11,148,151,0.988494,19.6243
11,148,152,0.923305,38.5071
11,148,153,0.922378,45.5362
11,148,154,0.825514,40.4141
11,148,155,0.994934,21.566
11,148,156,1,0
11,148,157,0.58783,89.7857
11,148,158,0.704584,36.5448
11,148,159,0.360022,93.9591
11,148,160,0.835839,70.8722
11,148,161,0.939344,68.0209
11,148,162,0.611864,137.068
11,148,163,0.689137,105.482
11,148,164,0.277694,97.4956
11,148,165,0.615567,140.322
11,148,166,0.780839,68.891
11,148,167,0.788974,93.2884
11,148,168,0.243842,101.717
11,148,169,0.437917,165.842
12,170,171,0.999462,4.26564
12,170,172,0.56195,48.2519
12,170,173,0.850935,67.2244
12,170,174,0.980377,13.2035
12,170,175,0.992961,15.9683
12,170,176,0.995031,9.91683
12,170,177,0.987448,22.747
12,170,178,0.991173,11.5894
12,170,179,0.967841,30.0809
12,170,180,0.986511,11.5369
12,170,181,0.997852,17.915
12,170,182,0.995832,17.6834
12,170,183,0.95232,39.1326
12,170,184,0.988743,30.6794
12,170,185,0.99334,36.3695
12,170,186,0.897136,85.2457
