basin_key,outlet_jn,m_over_n = 0.1,m_over_n = 0.2,m_over_n = 0.3,m_over_n = 0.4,m_over_n = 0.5,m_over_n = 0.6,m_over_n = 0.7,m_over_n = 0.8
0,47,1.34311613e-05,0.000203852454,0.0018166228,0.126175717,0.352542698,0.28197512,0.20736444,0.137616858
1,143,0.880977392,0.921379745,0.956686914,0.990157187,0.953026772,0.820029318,0.615833104,0.408937424
2,149,0.365617275,0.639826179,0.75181669,0.482568949,0.150760412,0.0217370372,0.00154292141,0.000454717578
3,162,0.00242397841,0.00555705326,0.00852287002,0.0076609957,0.00326776435,0.000553070975,3.35419027e-05,7.12659983e-07
4,191,0.0029427472,8.58510539e-05,3.61188607e-10,7.94608877e-19,3.35490433e-20,7.16146705e-31,2.78660779e-35,0
5,231,0.145176962,0.460773915,0.759579659,0.609573126,0.258940518,0.0692851692,0.0141770728,0.00238364935
6,322,0.000899025763,0.0271221418,0.331873298,0.502058387,0.0555197075,0.00916416291,0.000266429561,0.000357143988
7,336,0.681110501,0.752641082,0.83810246,0.89125967,0.878047287,0.769147635,0.618346691,0.463821977
8,423,0.00713759568,0.0290825628,0.365795553,0.505669296,0.49127084,0.303473353,0.120327182,0.0314945541
9,437,0.156267464,0.272036254,0.450389057,0.568329513,0.500172615,0.290313393,0.110458829,0.0271967519
10,497,0.503115058,0.620742619,0.719387054,0.763719916,0.738617301,0.650784791,0.515490532,0.363159835
11,515,0.00391648989,0.047076568,0.261830807,0.579962432,0.352306306,0.056237787,0.00329919392,0.000381185644
12,704,0.117859475,0.160374925,0.218244463,0.292046696,0.362347037,0.410099983,0.412463278,0.360717297
